,Species,pl_pw,sl_sw,plw_slw
75,Iris-versicolor,3.1428571428571432,2.1999999999999997,1.4285714285714288
76,Iris-versicolor,3.428571428571429,2.428571428571429,1.4117647058823528
77,Iris-versicolor,2.9411764705882355,2.2333333333333334,1.3169446883230904
78,Iris-versicolor,3.0,2.0689655172413794,1.45
79,Iris-versicolor,3.5,2.1923076923076925,1.5964912280701753
80,Iris-versicolor,3.454545454545454,2.291666666666667,1.5074380165289252
81,Iris-versicolor,3.7,2.291666666666667,1.6145454545454545
82,Iris-versicolor,3.25,2.148148148148148,1.5129310344827587
83,Iris-versicolor,3.1874999999999996,2.222222222222222,1.434375
84,Iris-versicolor,3.0,1.8,1.6666666666666665
85,Iris-versicolor,2.8125,1.7647058823529411,1.59375
86,Iris-versicolor,3.1333333333333333,2.161290322580645,1.4497512437810947
87,Iris-versicolor,3.3846153846153846,2.739130434782609,1.2356532356532355
88,Iris-versicolor,3.1538461538461533,1.8666666666666665,1.6895604395604393
89,Iris-versicolor,3.0769230769230766,2.2,1.3986013986013983
90,Iris-versicolor,3.666666666666667,2.1153846153846154,1.7333333333333334
91,Iris-versicolor,3.2857142857142856,2.033333333333333,1.6159250585480094
92,Iris-versicolor,3.3333333333333335,2.230769230769231,1.4942528735632183
93,Iris-versicolor,3.3,2.173913043478261,1.5179999999999998
94,Iris-versicolor,3.230769230769231,2.074074074074074,1.5576923076923077
95,Iris-versicolor,3.5000000000000004,1.9000000000000001,1.842105263157895
96,Iris-versicolor,3.230769230769231,1.9655172413793105,1.6437246963562753
97,Iris-versicolor,3.3076923076923075,2.137931034482759,1.5471464019851113
98,Iris-versicolor,2.727272727272727,2.04,1.336898395721925
99,Iris-versicolor,3.1538461538461533,2.035714285714286,1.549257759784075
100,Iris-virginica,2.4,1.9090909090909092,1.2571428571428571
101,Iris-virginica,2.6842105263157894,2.148148148148148,1.249546279491833
102,Iris-virginica,2.8095238095238098,2.3666666666666667,1.187122736418511
103,Iris-virginica,3.1111111111111107,2.1724137931034484,1.4320987654320985
104,Iris-virginica,2.6363636363636362,2.1666666666666665,1.2167832167832169
105,Iris-virginica,3.1428571428571423,2.533333333333333,1.2406015037593983
106,Iris-virginica,2.6470588235294117,1.9600000000000002,1.3505402160864344
107,Iris-virginica,3.5,2.5172413793103448,1.3904109589041096
108,Iris-virginica,3.222222222222222,2.68,1.2023217247097842
109,Iris-virginica,2.44,2.0,1.22
110,Iris-virginica,2.55,2.03125,1.2553846153846153
111,Iris-virginica,2.7894736842105265,2.3703703703703702,1.176809210526316
112,Iris-virginica,2.619047619047619,2.2666666666666666,1.1554621848739497
113,Iris-virginica,2.5,2.2800000000000002,1.0964912280701753
114,Iris-virginica,2.125,2.0714285714285716,1.0258620689655171
115,Iris-virginica,2.3043478260869565,2.0,1.1521739130434783
116,Iris-virginica,3.0555555555555554,2.1666666666666665,1.4102564102564104
117,Iris-virginica,3.0454545454545454,2.0263157894736845,1.5029515938606846
118,Iris-virginica,3.0000000000000004,2.9615384615384617,1.012987012987013
119,Iris-virginica,3.3333333333333335,2.727272727272727,1.2222222222222223
120,Iris-virginica,2.4782608695652177,2.15625,1.1493383742911154
121,Iris-virginica,2.45,2.0,1.225
122,Iris-virginica,3.35,2.7500000000000004,1.218181818181818
123,Iris-virginica,2.7222222222222223,2.333333333333333,1.166666666666667
124,Iris-virginica,2.7142857142857144,2.0303030303030303,1.3368869936034116
125,Iris-virginica,3.333333333333333,2.25,1.4814814814814814
126,Iris-virginica,2.6666666666666665,2.2142857142857144,1.204301075268817
127,Iris-virginica,2.7222222222222223,2.033333333333333,1.3387978142076504
128,Iris-virginica,2.6666666666666665,2.285714285714286,1.1666666666666665
129,Iris-virginica,3.6249999999999996,2.4,1.5104166666666665
130,Iris-virginica,3.2105263157894735,2.6428571428571432,1.2147937411095304
131,Iris-virginica,3.2,2.0789473684210527,1.539240506329114
132,Iris-virginica,2.545454545454545,2.285714285714286,1.1136363636363633
133,Iris-virginica,3.4,2.25,1.511111111111111
134,Iris-virginica,4.0,2.346153846153846,1.7049180327868856
135,Iris-virginica,2.6521739130434785,2.566666666666667,1.0333145115753812
136,Iris-virginica,2.3333333333333335,1.8529411764705883,1.2592592592592593
137,Iris-virginica,3.0555555555555554,2.064516129032258,1.480034722222222
138,Iris-virginica,2.6666666666666665,2.0,1.3333333333333333
139,Iris-virginica,2.5714285714285716,2.2258064516129035,1.15527950310559
140,Iris-virginica,2.3333333333333335,2.161290322580645,1.0796019900497513
141,Iris-virginica,2.217391304347826,2.2258064516129035,0.996219281663516
142,Iris-virginica,2.6842105263157894,2.148148148148148,1.249546279491833
143,Iris-virginica,2.565217391304348,2.125,1.2071611253196932
144,Iris-virginica,2.2800000000000002,2.0303030303030303,1.1229850746268657
145,Iris-virginica,2.2608695652173916,2.2333333333333334,1.0123296560674888
146,Iris-virginica,2.6315789473684212,2.52,1.0442773600668338
147,Iris-virginica,2.6,2.1666666666666665,1.2000000000000002
148,Iris-virginica,2.347826086956522,1.823529411764706,1.2875175315568022
149,Iris-virginica,2.833333333333333,1.9666666666666668,1.4406779661016946
